카테고리,id,등급,상품명_한글,원어명,생산자_원어,분류,용량,현지가_원화,기준가_원화,할인율,판정근거,매칭된_와인명,일치율,국내가_최저,국내가_중앙,국내가_최신등록일,해외_원통화,해외_원가격,게시연도,신뢰도,상태,미변환여부,샴드뱅링크,빈티지,빈티지검증
이탈리아,83,B,엘리오 알타레 랑게 로소 라 빌라 2021,Elio Altare Langhe Rosso La Villa 2021,Elio,DOC,750ml,118800,111661,-0.0639,해외가,Elio Altare Larigi Langhe Rosso 2021,0.8,,,,USD,74.94,2025,높음,,False,https://charme-du-vin.com/2025/01/37893/,2021,일치
이탈리아,84,B,엘리오 알타레 랑게 로소 ラルジ 2021,Elio Altare Langhe Rosso ラルジ 2021,Elio,DOC,750ml,118800,111661,-0.0639,해외가,Elio Altare Larigi Langhe Rosso 2021,1.0,,,,USD,74.94,2025,높음,,True,https://charme-du-vin.com/2025/01/37893/,2021,일치
미국,44,B,브레드 앤 버터 소비뇽 블랑 2024,Bread & Butter Sauvignon Blanc 2024,Bread,,750ml,25740,24123,-0.067,해외가,Bread & Butter Sauvignon Blanc 2024,1.0,,,,USD,16.19,2026,높음,,False,https://charme-du-vin.com/2026/03/42821/,2024,일치
이탈리아,6,B,아마 키안티 클라시코 그란 셀레치오네 비녜토 라 비녜토 라 카수차 2015,Ama Chianti Classico Gran Selezione Vigneto La Vigneto La Casuccia 2015,Ama,DOCG,750ml,287100,268185,-0.0705,해외가,Castello di Ama Vigneto La Casuccia Chianti Classico Gran Selezione 2015,1.0,,,,USD,179.99,2026,높음,,True,https://charme-du-vin.com/2026/07/44267/,2015,일치
이탈리아,21,B,자코모 콘테르노 네비올로 달바 비냐 아리오네 2022,Giacomo Conterno Nebbiolo d'Alba Vigna Arione 2022,Giacomo,DOC,750ml,257400,238325,-0.08,해외가,Giacomo Conterno Nebbiolo d'Alba Arione 2022,0.833,,,,USD,159.95,2026,높음,,False,https://charme-du-vin.com/2026/04/43201/,2022,일치
미국,137,B,키슬러 피노 누아 キュヴェナタリーシルヴァーベルト 2021,Kistler Pinot Noir キュヴェナタリーシルヴァーベルト 2021,Kistler,,750ml,245520,226480,-0.0841,해외가,Kistler Kistler Vineyard Pinot Noir 2003,1.0,,,,USD,152.0,2025,높음,빈티지대체,True,https://charme-du-vin.com/2025/01/37871/,2021,빈티지불일치
미국,138,B,키슬러 피노 누아 キュヴェナタリーシルヴァーベルト 2021,Kistler Pinot Noir キュヴェナタリーシルヴァーベルト 2021,Kistler,,750ml,245520,226480,-0.0841,해외가,Kistler Kistler Vineyard Pinot Noir 2003,1.0,,,,USD,152.0,2025,높음,빈티지대체,True,https://charme-du-vin.com/2025/01/37871/,2021,빈티지불일치
미국,135,B,오버추어 2021,Overture 2021,Overture,,750ml,316800,290535,-0.0904,해외가,Opus One Overture 2021,1.0,,,,USD,194.99,2025,높음,,False,https://charme-du-vin.com/2025/01/37996/,2021,일치
미국,10,B,키슬러 샤르도네 트렌턴 로드하우스 2023,Kistler Chardonnay Trenton Roadhouse 2023,Kistler,,750ml,227700,206231,-0.1041,해외가,Kistler Trenton Roadhouse Chardonnay 2023,1.0,,,,USD,138.41,2026,높음,,False,https://charme-du-vin.com/2026/06/44024/,2023,일치
스페인·포르투갈,31,B,클레멘스 부쉬 리슬링 마리엔부르크 ラフェ 2018,Clemens Busch Riesling Marienburg ラフェ 2018,Clemens,,750ml,123552,111661,-0.1065,해외가,Clemens Busch Marienburg GG Felsterrasse 2018,0.75,,,,USD,74.94,2024,보통,,True,https://charme-du-vin.com/2024/06/34933/,2018,일치
스페인·포르투갈,51,B,돌리베이라 마데이라 모스카텔 그라우두 1900,D'Oliveira Madeira Moscatel Graúdo 1900,D'Oliveira,,750ml,2162160,1936985,-0.1163,해외가,D'Oliveiras Reserva Moscatel Madeira,0.4,,,,USD,1299.99,2024,보통,,False,https://charme-du-vin.com/2024/01/32981/,표기없음,원문빈티지없음
미국,129,B,앤트힐 팜스 샤르도네 캠벨 랜치 2022,Anthill Farms Chardonnay Campbell Ranch 2022,Anthill,,750ml,75240,66961,-0.1236,해외가,Anthill Farms Campbell Ranch Vineyard Chardonnay 2022,1.0,,,,USD,44.94,2025,높음,,True,https://charme-du-vin.com/2025/02/38157/,2022,일치
미국,97,B,팔마이어 제이슨 소비뇽 블랑 2024,Pahlmeyer Jayson Sauvignon Blanc 2024,Pahlmeyer,,750ml,61380,53253,-0.1526,해외가,Pahlmeyer Jayson Sauvignon Blanc 2024,1.0,,,,USD,35.74,2025,높음,,True,https://charme-du-vin.com/2025/07/40188/,2024,일치
미국,42,B,팔마이어 제이슨 카베르네 소비뇽 2022,Pahlmeyer Jayson Cabernet Sauvignon 2022,Pahlmeyer,,750ml,143550,124042,-0.1573,해외가,Pahlmeyer Jayson The Bench Cabernet Sauvignon 2022,1.0,,,,USD,83.25,2026,높음,,True,https://charme-du-vin.com/2026/03/42868/,2022,일치
스페인·포르투갈,10,B,라파엘 팔라시오스 로우로 2024,Rafael Palacios Louro 2024,Rafael,,750ml,48510,41646,-0.1648,해외가,Rafael Palacios Louro Godello 2024,1.0,,,,USD,27.95,2025,높음,,False,https://charme-du-vin.com/2025/10/41208/,2024,일치
이탈리아,15,B,트룰리 ミレア 프리미티보 디 만두리아 2023,Trulli ミレア Primitivo di Manduria 2023,Trulli,DOCG,750ml,35640,29785,-0.1966,해외가,Masseria Borgo dei Trulli Primitivo di Manduria 2023,1.0,,,,USD,19.99,2026,높음,,True,https://charme-du-vin.com/2026/05/43542/,2023,일치
미국,88,B,덕혼 카베르네 소비뇽 2022,Duckhorn Cabernet Sauvignon 2022,Duckhorn,,750ml,75240,62565,-0.2026,해외가,Duckhorn Napa Valley Cabernet Sauvignon 2022,1.0,,,,USD,41.99,2025,높음,,False,https://charme-du-vin.com/2025/08/40483/,2022,일치
미국,30,B,초크 힐 샤르도네 소노마 코스트 2024,Chalk Hill Chardonnay Sonoma Coast 2024,Chalk,,750ml,36630,29800,-0.2292,해외가,Chalk Hill Sonoma Coast Chardonnay 2024,1.0,,,,USD,20.0,2026,높음,,False,https://charme-du-vin.com/2026/04/43294/,2024,일치
미국,73,B,콩스가드 샤르도네 2023,Kongsgaard Chardonnay 2023,Kongsgaard,,750ml,257400,208525,-0.2344,해외가,Kongsgaard Chardonnay 2023,1.0,,,,USD,139.95,2025,높음,,False,https://charme-du-vin.com/2025/10/41160/,2023,일치
미국,66,B,찰스 스미스 リアルワイン 샤르도네 2022,Charles Smith リアルワイン Chardonnay 2022,Charles,,750ml,25740,20830,-0.2357,해외가,Charles Smith Real Wine Chardonnay 2022,1.0,119000,119000,2023-12-01,USD,13.98,2025,높음,,True,https://charme-du-vin.com/2025/11/41376/,2022,일치
미국,84,B,실버 오크 カベルネアレキサンダーヴァレー 2020,Silver Oak カベルネアレキサンダーヴァレー 2020,Silver,,750ml,138600,108755,-0.2744,해외가,Silver Oak Alexander Valley Cabernet Sauvignon 2020,1.0,,,,USD,72.99,2025,높음,,True,https://charme-du-vin.com/2025/09/40780/,2020,일치
스페인·포르투갈,61,B,토레스 비냐 에스메랄다 フロールドランジュ 2022,Torres Viña Esmeralda フロールドランジュ 2022,Torres,,750ml,19859,15466,-0.284,해외가,Familia Torres Viña Esmeralda 2023,1.0,,,,USD,10.38,2023,보통,빈티지대체,True,https://charme-du-vin.com/2023/08/31362/,2022,빈티지불일치
미국,21,B,키슬러 샤르도네 바인 힐 빈야드 2022,Kistler Chardonnay Vine Hill Vineyard 2022,Kistler,,750ml,227700,177310,-0.2842,해외가,Kistler Chardonnay 2022,1.0,,,,USD,119.0,2026,높음,,True,https://charme-du-vin.com/2026/05/43509/,2022,일치
미국,113,B,셰이퍼 カベルネワンポイントファイヴ 2022,Shafer カベルネワンポイントファイヴ 2022,Shafer,,750ml,173250,134026,-0.2927,해외가,Shafer Relentless 2022,1.0,,,,USD,89.95,2025,높음,,True,https://charme-du-vin.com/2025/06/39552/,2022,일치
미국,41,B,팔마이어 제이슨 샤르도네 2023,Pahlmeyer Jayson Chardonnay 2023,Pahlmeyer,,750ml,97020,73740,-0.3157,해외가,Pahlmeyer Jayson Chardonnay 2023,1.0,,,,USD,49.49,2026,높음,,True,https://charme-du-vin.com/2026/03/42868/,2023,일치
미국,45,B,브레드 앤 버터 샤르도네 2024,Bread & Butter Chardonnay 2024,Bread,,750ml,25740,19355,-0.3299,해외가,Bread & Butter Chardonnay 2024,1.0,,,,USD,12.99,2026,높음,,False,https://charme-du-vin.com/2026/03/42821/,2024,일치
스페인·포르투갈,82,B,후안 힐 18メセス 2018,Juan Gil 18メセス 2018,Juan,,750ml,43758,32765,-0.3355,해외가,Juan Gil Red Blend 2018,0.667,,,,USD,21.99,2021,낮음,,True,https://charme-du-vin.com/2021/12/24920/,2018,일치
미국,8,B,키슬러 샤르도네 허드슨 빈야드 2023,Kistler Chardonnay Hudson Vineyard 2023,Kistler,,750ml,227700,163900,-0.3893,해외가,Kistler Chardonnay 2023,1.0,,,,USD,110.0,2026,높음,,True,https://charme-du-vin.com/2026/06/44028/,2023,일치
미국,28,B,키슬러 샤르도네 맥크레아 빈야드 2023,Kistler Chardonnay McCrea Vineyard 2023,Kistler,,750ml,227700,163900,-0.3893,해외가,Kistler Chardonnay 2023,1.0,,,,USD,110.0,2026,높음,,True,https://charme-du-vin.com/2026/04/43297/,2023,일치
스페인·포르투갈,22,B,후안 힐 메세스 2018,Juan Gil meses 2018,Juan,,750ml,46332,32765,-0.4141,해외가,Juan Gil Red Blend 2018,0.667,,,,USD,21.99,2024,보통,,False,https://charme-du-vin.com/2024/12/37484/,2018,일치
미국,37,B,허드슨 샤르도네 シーシェル 2023,Hudson Chardonnay シーシェル 2023,Hudson,,750ml,153450,107265,-0.4306,해외가,Hudson Chardonnay 2023,1.0,,,,USD,71.99,2026,높음,,True,https://charme-du-vin.com/2026/03/42880/,2023,일치
미국,39,B,허드슨 샤르도네 リトルビット 2023,Hudson Chardonnay リトルビット 2023,Hudson,,750ml,153450,107265,-0.4306,해외가,Hudson Chardonnay 2023,1.0,,,,USD,71.99,2026,높음,,True,https://charme-du-vin.com/2026/03/42875/,2023,일치
미국,40,B,허드슨 샤르도네 レディーバグ 2023,Hudson Chardonnay レディーバグ 2023,Hudson,,750ml,153450,107265,-0.4306,해외가,Hudson Chardonnay 2023,1.0,,,,USD,71.99,2026,높음,,True,https://charme-du-vin.com/2026/03/42875/,2023,일치
스페인·포르투갈,50,B,돌리베이라 마데이라 모스카텔 그라우두 1875,D'Oliveira Madeira Moscatel Graúdo 1875,D'Oliveira,,750ml,2779920,1936985,-0.4352,해외가,D'Oliveiras Reserva Moscatel Madeira,0.4,,,,USD,1299.99,2024,보통,,False,https://charme-du-vin.com/2024/01/32981/,표기없음,원문빈티지없음
미국,121,B,피터 마이클 레 パヴォ 2019,Peter Michael Les パヴォ 2019,Peter,,750ml,386100,268185,-0.4397,해외가,Peter Michael Les Pavots 2019,1.0,,,,USD,179.99,2025,높음,,True,https://charme-du-vin.com/2025/05/39233/,2019,일치
미국,31,B,초크 힐 에스테이트 샤르도네 2023,Chalk Hill Estate Chardonnay 2023,Chalk,,750ml,73260,49155,-0.4904,해외가,Chalk Hill Chalk Hill Estate Chardonnay 2023,1.0,,,,USD,32.99,2026,높음,,False,https://charme-du-vin.com/2026/04/43294/,2023,일치
미국,110,B,클로 뒤 발 イエッタリル 2019,Clos du Val イエッタリル 2019,Clos,,750ml,346500,216035,-0.6039,해외가,Clos du Val Yettalil 2019,1.0,,,,USD,144.99,2025,높음,,True,https://charme-du-vin.com/2025/06/39555/,2019,일치
미국,68,B,도멘 세레네 샤르도네 コートサッド 2022,Domaine Serene Chardonnay コートサッド 2022,Domaine,,750ml,168300,104285,-0.6138,해외가,Domaine Serene Evenstad Reserve Chardonnay 2022,1.0,,,,USD,69.99,2025,높음,,True,https://charme-du-vin.com/2025/11/41372/,2022,일치
미국,67,B,도멘 세레네 피노 누아 アスペクト 2022,Domaine Serene Pinot Noir アスペクト 2022,Domaine,,750ml,217800,134026,-0.6251,해외가,Domaine Serene Evenstad Reserve Pinot Noir 2022,1.0,,,,USD,89.95,2025,높음,,True,https://charme-du-vin.com/2025/11/41372/,2022,일치
미국,16,B,오베르 유브이에스엘 소노마 코스트 샤르도네 2024,Aubert UV-SL Sonoma Coast Chardonnay 2024,Aubert,,750ml,267300,163900,-0.6309,해외가,Aubert Sonoma Coast Chardonnay 2015,0.5,,,,USD,110.0,2026,높음,빈티지대체,True,https://charme-du-vin.com/2026/06/43765/,2024,빈티지불일치
미국,114,B,오베르 パワーホース 소노마 코스트 샤르도네 2023,Aubert パワーホース Sonoma Coast Chardonnay 2023,Aubert,,750ml,287100,171350,-0.6755,해외가,Aubert Sonoma Coast Chardonnay 2023,1.0,,,,USD,115.0,2025,높음,,True,https://charme-du-vin.com/2025/05/39423/,2023,일치
미국,17,B,오베르 パウダーハウス 소노마 코스트 샤르도네 2024,Aubert パウダーハウス Sonoma Coast Chardonnay 2024,Aubert,,750ml,292050,163900,-0.7819,해외가,Aubert Sonoma Coast Chardonnay 2015,1.0,,,,USD,110.0,2026,높음,빈티지대체,True,https://charme-du-vin.com/2026/06/43765/,2024,빈티지불일치
미국,26,B,오베르 카네로스 샤르도네 래리 하이드 앤 선스 2020,Aubert Carneros Chardonnay Larry Hyde & Sons 2020,Aubert,,750ml,306900,171350,-0.7911,해외가,Aubert Carneros Chardonnay 2015,1.0,,,,USD,115.0,2026,높음,빈티지대체,True,https://charme-du-vin.com/2026/05/43486/,2020,빈티지불일치
이탈리아,62,B,마세토 2021,Masseto 2021,Masseto,,750ml,1089000,558750,-0.949,해외가,Masseto Massetino 2021,1.0,,,,USD,375.0,2025,높음,,False,https://charme-du-vin.com/2025/06/39779/,2021,일치
이탈리아,1,D,판티니 칼라렌타 페코리노 2024,Fantini Calalenta Pecorino 2024,Fantini,,750ml,21780,,,없음,,,,,,,,2026,높음,,False,https://charme-du-vin.com/2026/07/44390/,2024,
이탈리아,3,D,프레스코발디 브루넬로 디 몬탈치노 카스텔조콘도,Frescobaldi Brunello di Montalcino CastelGiocondo,Frescobaldi,DOCG,750ml,77220,,,없음,,,,,,,,2026,높음,,False,https://charme-du-vin.com/2026/07/44313/,표기없음,
이탈리아,40,D,ジオバッファ 피노 그리조 비올로지코,ジオバッファ Pinot Grigio Biologico,ジオバッファ,,750ml,12870,,,없음,,,,,,,,2025,높음,,True,https://charme-du-vin.com/2025/12/41989/,표기없음,
이탈리아,41,D,ジオバッファ 토스카나 로소 비올로지코,ジオバッファ Toscana Rosso Biologico,ジオバッファ,IGT,750ml,12870,,,없음,,,,,,,,2025,높음,,True,https://charme-du-vin.com/2025/12/41989/,표기없음,
이탈리아,51,D,로베르토 보에르치오 네비올로 디 산 프란체스코 2021,Roberto Voerzio Nebbiolo di San Francesco 2021,Roberto,,750ml,46530,,,없음,,,,,,,,2025,높음,,False,https://charme-du-vin.com/2025/07/40371/,2021,
이탈리아,72,D,マコン 드 비안코 2020,マコン de Bianco 2020,マコン,,750ml,188100,,,없음,,,,,,,,2025,높음,,True,https://charme-du-vin.com/2025/04/39080/,2020,
이탈리아,74,D,테르체토 바르바레스코 2020,Terzetto Barbaresco 2020,Terzetto,DOCG,750ml,18810,,,없음,,,,,,,,2025,높음,,False,https://charme-du-vin.com/2025/03/38825/,2020,
이탈리아,75,D,자로네 샤르도네 베르텔리 2022,Giarone Chardonnay Bertelli 2022,Giarone,,750ml,148500,,,없음,,,,,,,,2025,높음,,False,https://charme-du-vin.com/2025/03/38595/,2022,
이탈리아,82,D,산 마르차노 콜레치오네 친콴타 블랙 +1,San Marzano Collezione Cinquanta Black +1,Marzano,,750ml,29700,,,없음,,,,,,,,2025,높음,,False,https://charme-du-vin.com/2025/01/37930/,표기없음,
이탈리아,88,D,제오그라피코 ボルゴアラテッラ 고베르노 알루조 2022,Geografico ボルゴアラテッラ Governo all'Uso Toscano 2022,Geografico,IGT,750ml,15840,,,없음,,,,,,,,2025,높음,,True,https://charme-du-vin.com/2025/01/37730/,2022,
이탈리아,89,D,제오그라피코 フェランテ レッジェーロ 아파시멘토 2022,Geografico フェランテ レッジェーロ Appassimento 2022,Geografico,,750ml,16830,,,없음,,,,,,,,2025,높음,,True,https://charme-du-vin.com/2025/01/37730/,2022,
스페인·포르투갈,6,D,サティス デイ 프리미엄 시라 가르나차 2023,サティス デイ Premium Syrah Garnacha 2023,サティス,,750ml,15840,,,없음,,,,,,,,2026,높음,,True,https://charme-du-vin.com/2026/04/43041/,2023,
스페인·포르투갈,7,D,サティス デイ 프리미엄 소비뇽 블랑 2024,サティス デイ Premium Sauvignon Blanc 2024,サティス,,750ml,12870,,,없음,,,,,,,,2026,높음,,True,https://charme-du-vin.com/2026/04/43041/,2024,
스페인·포르투갈,8,D,ヴァル 데 ガリル 고델료 2024,ヴァル de ガリル Godello 2024,ヴァル,,750ml,17820,,,없음,,,,,,,,2026,높음,,True,https://charme-du-vin.com/2026/03/42818/,2024,
스페인·포르투갈,13,D,카스티요 데 메디나 페르멘타도 엔 바리카 2021,Castillo de Medina Fermentado en Barrica 2021,デメディナ,,750ml,25740,,,없음,,,,,,,,2025,높음,,True,https://charme-du-vin.com/2025/07/40144/,2021,
스페인·포르투갈,14,D,PSI 리베라 델 두에로 2021,PSI Ribera del Duero 2021,PSI,,750ml,38610,,,없음,,,,,,,,2025,높음,,False,https://charme-du-vin.com/2025/06/39999/,2021,
스페인·포르투갈,17,D,아시엔다 엘 エスピノ 1707 시라 알만사,Hacienda El エスピノ 1707 Syrah Almansa,エスピノ,,750ml,12870,,,없음,,,,,,,,2025,높음,,True,https://charme-du-vin.com/2025/05/39438/,표기없음,
스페인·포르투갈,20,D,후안 힐 콰트로 메세스 2023,Juan Gil cuatro meses 2023,Juan,,750ml,17820,,,없음,,,,,,,,2025,높음,,False,https://charme-du-vin.com/2025/02/38319/,2023,
스페인·포르투갈,24,D,カルチェロ シエント80 2019,カルチェロ シエント80 2019,カルチェロ,,750ml,21622,,,없음,,,,,,,,2024,보통,,True,https://charme-du-vin.com/2024/11/36741/,2019,
스페인·포르투갈,26,D,ウカン センデロ 데 ウカン 2020,ウカン センデロ de ウカン 2020,ウカン,,750ml,46332,,,없음,,,,,,,,2024,보통,,True,https://charme-du-vin.com/2024/10/36209/,2020,
스페인·포르투갈,27,D,ペペルイ 리아스 바이샤스 2022,ペペルイ Rías Baixas 2022,ペペルイ,,750ml,77220,,,없음,,,,,,,,2024,보통,,True,https://charme-du-vin.com/2024/10/36209/,2022,
스페인·포르투갈,30,D,쿠네 모노폴레 블랑코 세코 2019,CVNE Monopole Blanco Seco 2019,CVNE,,750ml,30888,,,없음,,,,,,,,2024,보통,,False,https://charme-du-vin.com/2024/07/35473/,2019,
스페인·포르투갈,33,D,クランプ 그라우부르군더 2022,クランプ Grauburgunder 2022,クランプ,,750ml,27799,,,없음,,,,,,,,2024,보통,,True,https://charme-du-vin.com/2024/06/34883/,2022,
스페인·포르투갈,34,D,クランプ 바이스부르군더 2022,クランプ Weissburgunder 2022,クランプ,,750ml,26770,,,없음,,,,,,,,2024,보통,,True,https://charme-du-vin.com/2024/06/34883/,2022,
스페인·포르투갈,35,D,クランプ 옥세루아 2023,クランプ Auxerrois 2023,クランプ,,750ml,27799,,,없음,,,,,,,,2024,보통,,True,https://charme-du-vin.com/2024/06/34883/,2023,
스페인·포르투갈,36,D,갈레르나 카베르네 소비뇽 2021,Galerna Cabernet Sauvignon 2021,Galerna,,750ml,9781,,,없음,,,,,,,,2024,보통,,False,https://charme-du-vin.com/2024/06/34747/,2021,
스페인·포르투갈,40,D,후안 힐 콰트로 메세스 2022,Juan Gil cuatro meses 2022,Juan,,750ml,18533,,,없음,,,,,,,,2024,보통,,False,https://charme-du-vin.com/2024/03/33594/,2022,
스페인·포르투갈,43,D,알람브르 마데이라 모스카텔 세투발 20년,Alambre Madeira Moscatel Setúbal 20 Year Old,Alambre,,750ml,70013,,,없음,,,,,,,,2024,보통,,False,https://charme-du-vin.com/2024/01/32989/,표기없음,
스페인·포르투갈,44,D,レオナルド 포트 30년,レオナルド Port 30 Year Old,レオナルド,,750ml,82368,,,없음,,,,,,,,2024,보통,,True,https://charme-du-vin.com/2024/01/32987/,표기없음,
스페인·포르투갈,57,D,ショーンレバーブブルムレイン 라인가우 리슬링 트로켄 2022,ショーンレバーブブルムレイン Rheingau Riesling Trocken 2022,ショーンレバーブブルムレイン,,750ml,20592,,,없음,,,,,,,,2024,보통,,True,https://charme-du-vin.com/2024/01/32950/,2022,
스페인·포르투갈,58,D,ガントラム 도른펠더 트로켄 2021,ガントラム Dornfelder Trocken 2021,ガントラム,,750ml,14414,,,없음,,,,,,,,2024,보통,,True,https://charme-du-vin.com/2024/01/32948/,2021,
스페인·포르투갈,72,D,Ψ Psi 리베라 델 두에로 2018,Ψ Psi Ribera del Duero 2018,Ψ,,750ml,41738,,,없음,,,,,,,,2022,낮음,,False,https://charme-du-vin.com/2022/08/27031/,2018,
스페인·포르투갈,73,D,엘 ヴィンクロ 크리안사 2017,El ヴィンクロ Crianza 2017,ヴィンクロ,,750ml,20869,,,없음,,,,,,,,2022,낮음,,True,https://charme-du-vin.com/2022/06/26625/,2017,
스페인·포르투갈,76,D,ヴァルダヤ 리베라 델 두에로 2018,ヴァルダヤ Ribera del Duero 2018,ヴァルダヤ,,750ml,63835,,,없음,,,,,,,,2022,낮음,,True,https://charme-du-vin.com/2022/04/25786/,2018,
스페인·포르투갈,79,D,마스 델 セラル 2009,Mas del セラル 2009,セラル,,1500ml,196416,,,없음,,,,,,,,2022,낮음,"실제병가:316,800원",True,https://charme-du-vin.com/2022/03/25508/,2009,
스페인·포르투갈,80,D,ヴェレタ 데 ソラーノ 템프라니요 2017,ヴェレタ de ソラーノ Tempranillo 2017,ヴェレタ,,750ml,9821,,,없음,,,,,,,,2022,낮음,,True,https://charme-du-vin.com/2022/03/25499/,2017,
스페인·포르투갈,84,D,マー セルヴェラ 카베르네 소비뇽 2010,マー セルヴェラ Cabernet Sauvignon 2010,マー,,750ml,16731,,,없음,,,,,,,,2021,낮음,,True,https://charme-du-vin.com/2021/11/24338/,2010,
스페인·포르투갈,85,D,マー セルヴェラ 시라 2011,マー セルヴェラ Syrah 2011,マー,,750ml,16731,,,없음,,,,,,,,2021,낮음,,True,https://charme-du-vin.com/2021/11/24338/,2011,
스페인·포르투갈,89,D,베이라 피노 누아 2017,Beira Pinot Noir 2017,Beira,,750ml,38610,,,없음,,,,,,,,2021,낮음,,False,https://charme-du-vin.com/2021/09/23676/,2017,
미국,13,D,더 ヴァイス 더 저지먼트 카베르네 소비뇽 2023,The ヴァイス The Judgement Cabernet Sauvignon 2023,ヴァイス,,750ml,128700,,,없음,,,,,,,,2026,높음,,True,https://charme-du-vin.com/2026/06/43850/,2023,
미국,20,D,콩스가드 キングスファーム 나파 밸리 블랑 2024,Kongsgaard キングスファーム Napa Valley Blanc 2024,Kongsgaard,,750ml,118800,,,없음,,,,,,,,2026,높음,,True,https://charme-du-vin.com/2026/05/43521/,2024,
미국,22,D,키슬러 샤르도네 ストックランチ 소노마 코스트 2023,Kistler Chardonnay ストックランチ Sonoma Coast 2023,Kistler,,750ml,227700,,,없음,,,,,,,,2026,높음,,True,https://charme-du-vin.com/2026/05/43509/,2023,
미국,23,D,캘리포니아 프레스 샤르도네 2024,California Press Chardonnay 2024,プレス,,750ml,14850,,,없음,,,,,,,,2026,높음,,True,https://charme-du-vin.com/2026/05/43506/,2024,
미국,24,D,캘리포니아 프레스 피노 누아 2022,California Press Pinot Noir 2022,プレス,,750ml,14850,,,없음,,,,,,,,2026,높음,,True,https://charme-du-vin.com/2026/05/43506/,2022,
미국,25,D,캘리포니아 프레스 레드 블렌드 2021,California Press Red Blend 2021,プレス,,750ml,14850,,,없음,,,,,,,,2026,높음,,True,https://charme-du-vin.com/2026/05/43506/,2021,
미국,33,D,ヴァソ 카베르네 소비뇽 나파 2020,ヴァソ Cabernet Sauvignon Napa 2020,ヴァソ,,750ml,128700,,,없음,,,,,,,,2026,높음,,True,https://charme-du-vin.com/2026/04/43109/,2020,
미국,34,D,신 쿠아 논 디스텐타 V 시라 2023,Sine Qua Non Distenta V Syrah 2023,シン,,750ml,544500,,,없음,,,,,,,,2026,높음,,True,https://charme-du-vin.com/2026/04/43106/,2023,
미국,35,D,신 쿠아 논 디스텐타 V 그르나슈 2023,Sine Qua Non Distenta V Grenache 2023,シン,,750ml,544500,,,없음,,,,,,,,2026,높음,,True,https://charme-du-vin.com/2026/04/43106/,2023,
미국,36,D,더 ヴァイス 피노 누아 2022,The ヴァイス Pinot Noir 2022,ヴァイス,,750ml,44550,,,없음,,,,,,,,2026,높음,,True,https://charme-du-vin.com/2026/03/42894/,2022,
미국,53,D,カモミ 소비뇽 블랑 2023,カモミ Sauvignon Blanc 2023,カモミ,,750ml,20790,,,없음,,,,,,,,2026,높음,,True,https://charme-du-vin.com/2026/02/42465/,2023,
미국,71,D,롱반 카베르네 소비뇽 2022,Longbarn Cabernet Sauvignon 2022,ロングバーン,,750ml,15840,,,없음,,,,,,,,2025,높음,,True,https://charme-du-vin.com/2025/10/41234/,2022,
미국,72,D,롱반 샤르도네 2023,Longbarn Chardonnay 2023,ロングバーン,,750ml,15840,,,없음,,,,,,,,2025,높음,,True,https://charme-du-vin.com/2025/10/41234/,2023,
미국,76,D,フォアマン 카베르네 소비뇽 2012,フォアマン Cabernet Sauvignon 2012,フォアマン,,750ml,108900,,,없음,,,,,,,,2025,높음,,True,https://charme-du-vin.com/2025/10/41060/,2012,
미국,77,D,フォアマン 카베르네 소비뇽 2014,フォアマン Cabernet Sauvignon 2014,フォアマン,,750ml,113850,,,없음,,,,,,,,2025,높음,,True,https://charme-du-vin.com/2025/10/41060/,2014,
미국,78,D,フォアマン 카베르네 소비뇽 2020,フォアマン Cabernet Sauvignon 2020,フォアマン,,750ml,128700,,,없음,,,,,,,,2025,높음,,True,https://charme-du-vin.com/2025/10/41060/,2020,
미국,82,D,헤드 하이 샤르도네 소노마 2023,Head High Chardonnay Sonoma 2023,ヘッドハイ,,750ml,19800,,,없음,,,,,,,,2025,높음,,True,https://charme-du-vin.com/2025/09/40926/,2023,
미국,83,D,헤드 하이 피노 누아 소노마 2022,Head High Pinot Noir Sonoma 2022,ヘッドハイ,,750ml,21780,,,없음,,,,,,,,2025,높음,,True,https://charme-du-vin.com/2025/09/40926/,2022,
미국,85,D,더 ヴァイス 카베르네 소비뇽 コヨーテルーザー 2021,The ヴァイス Cabernet Sauvignon コヨーテルーザー 2021,ヴァイス,,750ml,108900,,,없음,,,,,,,,2025,높음,,True,https://charme-du-vin.com/2025/09/40663/,2021,
미국,86,D,더 ヴァイス 샤르도네 2023,The ヴァイス Chardonnay 2023,ヴァイス,,750ml,49500,,,없음,,,,,,,,2025,높음,,True,https://charme-du-vin.com/2025/09/40663/,2023,
미국,90,D,ウィンドストーム 진판델 올드 바인 2021,ウィンドストーム Zinfandel Old Vine 2021,ウィンドストーム,,750ml,11880,,,없음,,,,,,,,2025,높음,,True,https://charme-du-vin.com/2025/07/40386/,2021,
미국,93,D,다나 에스테이트 에스테이츠 ヴァソ 카베르네 소비뇽 나파 2020,Dana Estates Estates ヴァソ Cabernet Sauvignon Napa 2020,ダナ,,750ml,128700,,,없음,,,,,,,,2025,높음,,True,https://charme-du-vin.com/2025/07/40254/,2020,
미국,104,D,애듈레이션 나파 밸리 카베르네 소비뇽,Adulation Napa Valley Cabernet Sauvignon,Adulation,,750ml,48510,,,없음,,,,,,,,2025,높음,,False,https://charme-du-vin.com/2025/06/39821/,표기없음,
